Proposed standard spelling for our dataset (MK),Term,English,spelling variations,in our dataset? y/n,in 2ndary glossaries y/n,Description,object type,fiber type,color,how color applied,pattern,weave type,quality,Source Location?,Exported to:,(in purple): modifiers from our data (full text),modifier: color,modifier: pattern,modifier: place,modifier: fiber,modifer: quality,modifier: size,modifier: other or unknown,Category,Subcategory,Piece size,Image:,Notes
allibanees,allibannes,allibannes,"alibanes, alibanees",y,y,"Definitions mostly agree, one says it's only cotton: cotton and silk cloth probably striped; I1966: woven cloth of mixed silk and cotton, probably striped; VOCgp11: cotton cloth (doeken) from Coromandel",textile,cotton; cotton/silk,,colored threads (loom-patterned) (probably),stripe,,,"I1966: Northeast India, from Malda-Kasimbazar area; VOCglp11: Coromandel",,,,,,,,,,textile,,,,
amirtjes,ambertees,"ambertees, amiertjes, amirtje",,y,y,I1966: superior grade white cloth (other definitions agree),textile,,white,white,N/A,,high,"I1966: India: Bihar, Patna area","I1966: London (1st quarter 17th c), for lining of quilts, North Africa",,,,,,,,,textile,,"varies, see I1966",,
,amiertjes,,,,,see AMBERTEES,,,,,,,,,,none,,,,,,,,,,,,
,anbonyns,,,,y,Jones: unidentified textile,textile,,,,,,,,,,,,,,,,,,,,,
,annebassen,,,,y,"(other glossaries agree:) Jones: a cheap European fabric consisting originally of wool on fine linen, later of wool on cotton or cotton on wool, with blue and white stripes, about 2cm wide, manufactured eclusively for sale in west and west central Africa; price, smal one engels gold or 8lbs ivory",textile,,blue/white,colored threads (loom-patterned),stripe,,,,,,,,,,,,,,,,,
,ardeas,ardeas,,,y,glossaries agree - a white cloth dyed a solid color; I1966: plain dyed cloth; RielloParth2009: plain dyed cloths of differing sizes traded in Gelagoa Bay (term is Gajurati),textile,,white; varies,"piece-dyed (solid, single color); undyed",solid (single color),,,"I1966: Northwestern India, specifically Gujarat and Rajputana","I1966: near east and Malay archipelago, not often mentioned after 1650",,,,,,,,,textile,,,,
armozijn,armosynen,armosin,"Armosynen, Armozijn, armosijnen",y,y,"Various sources say it's a cheaper, coarser silk cloth, maybe striped, checkered, might be embroidered with flowers. Thin and supple silk fabric (VijfpXCVII); Colenbrander185 says its like a medium-quality taffeta - also exists as half-armosin which is rougher and used for upholstry; RielloParth2009: stable silk textile, plain, striped, checkered, often brocaded or embroidered; exported in large quantities from India but there is also a northern European silk with the same name; MK: could this be related to amazon? (Jerde8: ""Amazon fabric is woven with a fine worsted warp and a heavier weft yarn of wool.  The fabric is warp faced (more warp threads are visible). The satin weave of Amazon is not visible because the finishing process that it undergoes obscures the weave entirely. The hand, or feel, of Amazon is very soft due to the nature of the yarns and the finishing techniques employed in its production.""",textile,silk; silk/wool,,colored threads (loom-patterned); supplmental thread,stripe; check; floral,plainweave; brocade; embroidered,high,India and North Netherlands,,"colors, striped on a white ground, floral, Bengaals, dubbele, dubbele effen, dubbele gestreept, enkele effen, enkele effen Bengaals, enkele geruit; dubbele gebloemd, enkele Bengaals","colors, white/other","stripes, floral, double?, single?, solid, checkered",Bengal,,,,,textile,,,,Vijf says the sale price is 20 gulden per stuck
armvijl,armvijl,,,y,n,?,unclear,,,,,,,,,,,,,,,,,,,,,
,arundi,arundi,arundee,,y,"I1966: coarse, cheap, and strong cloth woven with a Bengal wild silk, in brown or blue, sometimes used as sailcloth (this is the only definition we have)",textile,silk (wild),brown; blue,"piece-dyed (solid, single color)",solid (single color),,coarse,I1966: Northeast India,I1966: England (in small quantities),,,,,,,,,textile,,,,
,assumanis,,,n,y,VOC: green or blue cotton cloth,textile,cotton,green; blue,"piece-dyed (solid, single color)",solid (single color),,,,,,,,,,,,,,,,,
atlas,atlassen,,"atlas (sing), atlassen or attelassen might imply clothes made from this",y,y,"VOCgp14: fine silk cloth (stof), also clothes made from this cloth, like satin; Alpern: striped silk satin (sources agree here)",textile,silk,,colored threads (loom-patterned),stripe,,high,,Africa,"silk, Surat, ",,,Surat,silk,,,,textile,,,,
,baa,,,n,y,VOC: silk from Tonkin (single definition),textile,silk,,,,,,Tonkin,,,,,,,,,,,,,,
baftas,baftas,baftas,baffetas,y,y,"Agreement: sturdy cotton cloth, white or piece-dyed in blue, red, or black; ranged in quality from coarse to fine; at first from Gujarat and then imitated elsewhere; I1966: generic term for plain calico, varying in quality from coarse to fine; white for European market, and for Asian market commonly dyed red, blue, or black; scarce after Gujarat famine of 1630, and thereafter imitated in other Indian regions, so the term becomes generic; VOCgp15: fine cotton cloth (doeken), white and black, very desired across Asia, the best are from Broach, Persia; Crill p. 147 -blue cloths sought after in West Africa; cheap cotton cloth Crill p 149; Alpern: cheap, coarse cotton cloth, often blue or white, popular; RielloParth2009: white or piece-dyed cottons from Gajarat, though location later loses specificity; white for European market, red, blue, or black for Asian market; range from coarse to fine",textile,cotton,white; varies,"undyed; piece-dyed (solid, single color)",stripe; check; solid (single color),plainweave,vary,I1966: Northwest India: Gujurat (esp. Broach and Nosari); Persia?,I1966: Europe and Asia; Africa,"Bharuch, (Bharuch) (wit) met gouden hoofden (breed) (in soort Surats), Bharuch wit, blue, blue coast, (blue) breed hele (Surats), blue Pulicats, bruin blue, bleached, bleached coast/Pulicats, hele smal, met gouden hoofden in soort Surats, white breed (hele) (Surats), white breed Surats, white smal (hele), black breed halve, black breed halve Surats, black brede hele, black brede hele Surats, black smal halve, black smal hele Surats, black smal Surats, beed hele, black breed","white, with gold, blue, black, brown blue, bleached",,"Bharuch, Surat, coastal, Pulicat",,,"wide, narrow (smal), half (halve)",hele (whole),textile,,I1966: narrow,,
,balaatiouwers,,ballatios,n,y,"cotton cloth, usually white",textile,cotton,white; varies,plain (undyed and unbleached?),solid (single color),,,,,,,,,,,,,,,,,
bandana,bandana of tafia de foula,,"foulard, bandana, bandannoes, bandhani",y,y,"tie-dyed silk handkerchiefs, often dark colors; foulard: handkerchief fabrics, delicate; Peck2013 18th and 19th these are printed on silk",textile/handkerchief,silk?,,tie-dyed,,plainweave,high,,,tafta de foela,,,,,,,tafta de foela,handkerchief,,,Peck2013 fig. 101,
,bantan,,,n,y,"Riello/Parth: luxury cloth of cotton/kapok blend, made to look like silk, woven in Guinea Coast and Cape Verde",textile,cotton/kapok,,,,,,Guinea Coast and Cape Verde,,,,,,,,,,,,,,
,barafula,,,n,y,"cotton cloths woven originally in the upper Guinea Coast hinterland on the treadle loom, then imitated in the Cape Verde Islands beginning in the mid-sixteenth century. Standardized as a wrapper made of six strips of alternating colours, plain white and piece dyed with indigo, the barafula became a currency and standard of value in the Cape Verde Islands and along the upper Guinea Coast in the seventeenth century."" (RielloParthasarathi 2009, p. 410)",textile,cotton,blue/white,"colored threads (loom-patterned); piece-dyed (solid, single color); pieced together",,,,Guinea Coast and Cape Verde,,,,,,,,,,,,,,
barkan,barkan,,"barkaan, barchent",y,y,"coarse woolen (or goat-hair) fabric, or heavy twilled cotton cloth (fustian)",textile,,,,,twill,,,,,,,,,,,,,,,,
,barnaze,,,n,y,"dyed cloth (probably indigo dyed). It was traded in Zambezi Valley."" (RielloParthasarathi 2009, p. 410)",textile,,blue,"piece-dyed (solid, single color)",solid (single color),,,,Zambezi Valley,,,,,,,,,,,,,
,bast,,,n,y,"general term for strong, linen-like fibres that were used to make rope, twine, and cordage in West Africa from ancient times. Processed fibre from the bark of the Tabernaemontana pachysiphon was spun into thread and woven into cloth in the hinterlands of the Bight of Benin, where it served ceremonial purposes in the court of the Benin Kingdom."" (RielloParthasarathi 2009, p. 410)",fiber,,,,,,,,,,,,,,,,,,,,,
,bays,,"boysadoes, baize, baey, bayes",n,y,"coarse woolen cloth, European made",textile,wool,,,,,coarse,Europe,,,,,,,,,,,,,,
,bed-tyck,,bedde-tyck,y,,bedding,,,,,,,,,,,,,,,,,,,,,,
,beledi,,,n,y,"a coarse cloth, normally of cotton but occasionally of silk."" (RielloParthasarathi 2009, p. 410)",textile,cotton; silk,,,,,coarse,,,,,,,,,,,,,,,
silk,Bengaalse silk,Bengal Silk,,y,y,"silk from Bengal presumably raw silk (not spun into thread?), which is packed in bales and sold by weight (Colenbranderp15)",fiber,silk,,,,N/A,,Bengal,,,,,,,,,,fiber,silk,,,
,Benin cloth,,,n,y,"strip cloths, pieced together, solid white or blue, or striped/checked",textile,cotton,white; blue; blue/white,"colored threads (loom-patterned); piece-dyed (solid, single color); pieced together",stripe; check; solid (single color),,,Benin,,,,,,,,,,,,,,
beraupaats,beraupaats,,"beraupaets, bajutapeaux",y,y,"Heavy cotton cloth, maybe bleached, maybe dyed, maybe stripes or checks; VOCgp19: relatively expensive cloth (lijnwaad) from Gajurat",textile,,varies,"colored threads (loom-patterned); piece-dyed or bleached (solid, single color)",stripe; check; solid (single color),,high,Gajurat,,"white and blue, blue, white","white/blue, blue, white",,,,,,,textile,,,,
bethilles,bethilles,bethilles,"betilles,betej",y,y,"Definition: fine thin muslin used for veiling and other clothing, dyed, woven colors, or embroidered; I1966: muslin, term from Portuguese for veil; sometimes dyed red, sometimes striped or flowered with embroidery, finest grades might be reinforced with thin wire thread; VOCgp20: fine muslin veil-like cloth for clothing: hip cloths, stomach bands, head cloths, also dekens (blankets); names usually indicate where they were made; RP: Deccanese term for muslin, sometimes dyed red, striped or flowered with embroidery; fine grades could be reinforced with wire thread",textile,cotton,varies,"colored threads (loom-patterned); piece-dyed (solid, single color); supplemental thread",,plainweave,high (varies),"I1966: South India/Coromandel Coast, mostly Golcanda, specifically neighborhood of Warangal","I1966: in Europe, they were in demand as neckcloths","Often named for where they are from, varieties are: Calewaphoe (from Calewaphu, sometimes called just callawapores), Otizaals (Otizaal?, otisaals, otisaals kust), Sestergantyn (sesterganty, from Sesterganti), sesterganti Machilipatnams, Ternatanes (tarnatannes, from Ternate) (bleached, gemeen bleached, coast, Pulicats), mostly solids: black, green, purple, indigo, also checkered (geruite); tarnattanes gemeen gebleekt, tarnattanes kust, ); allegias (kust), fine bleached English type; blue (Coromandels), blue coast, brown blue, fine breed bleached, fijn bleached coast/Pulicats, fine bleached, fine bleached smal, fine bleached English sort, bleached, bleached coast, gemeen bleached (grof), grof breed bleached, grof smal gebleekt, ijl fijn breed, ijl gebleekt (dicht geweven (nieuw soort)) , ijl gebleekt nieuw soort, ijl gebleekt ordinaris (geweven (nieuw soort)), madrapaks (fijn dicht breed/smal), madrapaks fijn gebleekt, madrapaks gemeed gebleekt, madrapaks coast, madrapaks smal, red (coromandels/Pulicats), red coast, ruw, allegias machilipatnams, callawpores machilipatnams, cangan, dassen, fine","bleached, blue, green, purple, indigo, brown blue, red, raw","solid, checkered","Calewaphu (aka callawapores, Otisaal, Sesterganti, Machilipatnams, Ternate, Pulicats, coast, Coromandels",,"common (gemeen), rough (grof), fine","wide, narrow (smal)","madrapaks (is this a place?), English type, allegias (maybe this means striped here?), new type, ijl?, thickly woven (dicht geweven), ordinaris, geweven, cangan, dassen",textile,,"15-25 yards long, by 1.5 hards wide",,
,bethilles alegias,,"betej, ",y,y,"Some guesswork here with the combined terms: a striped muslin; VOCgp20: fine muslin veil-like cloth for clothing: hip cloths, stomach bands, head cloths, also dekens (blankets); names usually indicate where they were made; Crill p.149 Alegaes is red and white or blue and white checked cotton",textile,cotton,varies,colored threads (loom-patterned),stripe; check,plainweave,,Turkestan?,,,,,,,,,,textile,,,,
,bethilles dasjes,,,y,n,see BETHILLES,,,,,,,,,,,,,,,,,,,,,,
bherms,bherms,,"byrams, beurame, beram, bherms",y,y,"No clear agreement among the sources - either the term's meaning changes over time, or it can take a variety of forms (silk, cotton, plain, striped) VOCgp20: Bherms see Taffachelas - bairam from the Persian; p. 112 - fine striped cotton or silk cloths (weefsels) from Coromandel",textile,cotton; silk,varies,"colored threads (loom-patterned); piece-dyed (solid, single color); undyed",stripe; plain (single color); undyed,,high,"Coromandel, I1966: Northwest India, mainly in the Burhanpur area",I1966: Asia,"breed, smal",,,,,,"wide, narrow",,textile,,,,
twine,bindgaren,,,y,n,?,yarn,,,,,,,,,,,,,,,,,,,,,
cord,bindkoord,,,y,n,?,unclear,,,,,,,,,silk,,,,silk,,,,,,,,
rattan cord,bindrotan,,,y,n,rattan - which is not a textile but a fiber,unclear,,,,,,,,,jambise,,,,,,,jambise,,,,,
,birampot,,same as bherms/byrams?,n,y,"a plainwoven coarse cotton cloth occurring in blue, red or white."" (Alpern 1995, p. 6) (only one definition)",textile,cotton,blue; red; white,"piece-dyed (solid, single color)",solid (single color),plainweave,coarse,,,,,,,,,,,,,,,
,birds eyes,birds eyes,bulbul's eye,n,y,"glossaries agree: checkered with dots, cotton cloth; I1966: cheap checkered or striped cotton cloth, the pattern is woven; Jerde17: threads are twisted, making the fabric absorbent, all-over small geometric pattern with a dot (the birds eye), also can be a small diamond pattern - she includes an image in b/w",textile,,,colored threads (loom-patterned),check; floral,plainweave,cheap,I1966: Northwest India,I1966: probably only for slave markets,,,,,,,,,textile,,,,
?,bokkenvel,,bocke vellen,y,n,probably a leather/hide and thus not a textile,not textile,,,,,,,,,"diverse bereid, Perzische/Surats cargasoen",,,"Persia, Surat",,,,"cargasoen, bereid",,,,,
,Bombay stuffs,,,,y,"""Bombay stuffs, plain white. Bombay. Medium quality. Domestic use and block printing in England. Eighteenth century."" (Chaudhuri1978, p. 502) (one definition)",textile,,white,plain (undyed and unbleached?),solid (single color),,,Bombay,,,,,,,,,,,,,,
,bombazijn,,,,y,"Originally heavy cotton/hemp cloth, later finer and lighter, used for exterior clothing and furnishings",textile,cotton; cotton/hemp; hemp,,,,,,,,,,,,,,,,,,,,
,"bontje, Haarlemse",,,,y,"maybe a leather, maybe a checkered Linen, made in Holland?",unclear,,,,,,,,,,,,,,,,,,,,,
,booke calicos,booke calicos,,,y,I1966: fine calico folded like a book,textile,cotton,,,,plainweave,,I1966: India,I1966: India,,,,,,,,,textile,,I1966: 14 english yards,,
boratten,boratten,,,y,y,"VOC: same as pijlaken, rough woolen cloth (only one definition)",textile,wool,,,,,rough,,,,,,,,,,,,,,,
,boskleedje,,,n,y,VOC: a sarong,textile/garment,,,,,,,,,,,,,,,,,,,,,
boutidars,bouditars,,boudiaars,y,y,unclear: either all-over floral/paisley design or fine cloth with gold thread. muslin embroidered with floral/paisley motifs (p.313 Ghusnavi in Crill 2006) or fine cloth with gold thread - so unclear,textile,cotton,,"colored threads (loom-patterned); piece-dyed (solid, single color); supplemental thread",floral; paisley,plainweave,high,,,"gouden Surats, Surats",golden,,Surat,,,,,,,,"Crill 2006, p. 313 includes an example - MK has bad scan of, c. 1880, at V&A No. IS 1688-1883, but I can't figure out which one it is in their online collection",
,bourattai,,,,y,mixed wool and silk (single definition),textile,silk/wool,,,,,,,,,,,,,,,,,,,,
,boxshaes,,buxshawes,,y,"Maybe a kind of gingham, traded from India to Japan. I1966: piece goods of uncertain description, maybe made of gingham (several sources agree)",textile,,,,,,,I1966: South India/Coromandel Coast,I1966: Siam and Japan,,,,,,,,,piece goods,,,,
brandam,brandam,,brandams,y,n,?,textile/unclear,,,,,,,,,coast,,,coast,,,,,,,,,
brawles,brawles,,"sometimes grouped as guinea cloth; broal, broules, brouls of chiadder boraal, boralchowder, sjadderboraal",y,y,"I1966: cheap blue and white striped cloth, patterned on loom, classified as guinea stuff; Alpern: blue and white striped cotton cloth, usually cotton, sometime silk, popular; imitated by British manufactures by end of 17th c (sources in agreement)",textile,cotton; silk,,colored threads (loom-patterned),stripe,plainweave,cheap,I1966: Northwestern India,I1966: Guinea (for slave traders); Alpern: used by African chiefs for turbans,"Lambi (broal Lambi, if indeed this is the same textile), Surats, wit",white,,Surat,,,,Lambi,textile,,,,
brocade,brocades,,,y,y,"Silk patterned textile, patterned by the weaving structure into floral etc. Jerde20-21: pattern is created with free-floating wefts that may be added -- so it's got a raised texture, though the pattern is horizontal threads.  Could mistakenly refer to any patterned textile; originates in China/Japan as early as 12th c BCE, can be made of any fiber",textile,varies,,colored threads (loom-patterned),floral,brocade,high,,,Persian,,,Persia,,,,,textile,,,,
,buckram,,,,y,"not quite clear, but seems to be a linen and/or cotton thick cloth, or stiffened with starch to shape",textile,cotton; cotton/linen; linen,,,,,,,,,,,,,,,,,,,,
sack cloth?,buideldoek,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
bulangs,bulangs,,boelangs,y,y,"headcloths, usually indigo dyed (one definition)",textile,,blue,"piece-dyed (solid, single color)",solid (single color),,,,,"blaauwe boulangs, coast",blue,,coast,,,,,,,,,"found one of these (St Clara 2, 1710)--only modifer is blue--CA"
,bulbul chasm,,,n,y,see BIRD'S EYE,,,,,,,,,,,,,,,,,,,,,,
,buttanees,,,,y,"I1966: medium-priced cotton cloth with blue and white stripe, patterned on the loom (only the one definition, and another that copies it)",textile,cotton,blue/white,colored threads (loom-patterned),stripe,,medium,I1966: Northwest India,I1966: Europe (only beginning of 17th c),,,,,,,,,textile,,,,
,byrams,,,,,see BHERMS,,,,,,,,,,,,,,,,,,textile,,,,
cambayen,cabajen,,"cabaye, cambayen",y,y,"Unclear definition VOCgp37, for Kabaja: long loose women's garment that closes in the front; dubbelen=twernen, a process of working in raw silk (embroidery?) (VOCgp119); or could this be a corruption of Cambay (India), as in brocades from Cambay(see Crill p161)",textile or textile/garment,silk,,,,,,,,"double raw (rouwe dubbelde), fijn, fijn kust, ruw, ruw kust/Pulicats, fijn gebleekt","raw, bleached",,"coast, Pulicats",,fine,,double,textile,,,,
,caddy,,,,y,"I1966: comparatively cheap, plain woven calico, commonly used for cheap cotton-painting",textile,cotton,white,plain (undyed and unbleached?),solid (single color),plainweave,,"I1966: Northwest India, especially",,,,,,,,,,textile,,,,
caffa (but see cassa and cossaes?,caffa,,"caffan, kaffa, cassa",y,y,"VOC uses caffa and cassa interchangeably, suggesting they are indeed the same thing; and the definitions for each are all over the place VOCp25: colorful silk or cotton, 'flower velvet'?; Colenbrander 187 suggests several meanings: northern europe  use was patterned silk velvet; later also wool or linen velvet; Alpern: painted cotton cloth, sometimes floral; RP: Cassa Bengale (which these all are, I think) is smooth, finely woven cotton cloth, woven in Dacca, Bengal, and India- see Velvet - Holland floral velvet is also called caffa",textile,varies,,varied,,velvet?,,,,"Bengale, bengals coast, fine bengals",,,"Bengal, coast",,fine,,,textile,,,,
,caingoulons,,caingoulons,,y,"I1966: patterned in the loom, usually including gold thread, exported in rolls",textile,? And metal thread,,colored threads (loom-patterned),,,high,I1966: South India/Coromandel Coast: Tanjore area,I1966: Malay to make into sarongs,,,,,,,,,textile,,,,
,calde cloths,,"calde cleeden, caldes",n,y,Jones: a cloth exported from Benin,textile,,,,,,,Benin,,,,,,,,,,,,,,
,calico,,,n,y,"name comes from Calcutta; its usage is different between US and UK English, and historically -- generally a printed cotton fabric; or it could be the raw fabric acquired for printing; Alpern: white, blue, or printed cotton cloth",textile,cotton,varies,plain (undyed and unbleached?); printed,undyed; varies,plainweave,,,"Alpern: Africa, used as skirt",,,,,,,,,textile,,,,
,callawoypoose,,calawapores,,y,"I1966: cheap striped or checkered cloth, patterned on the loom; Alpern: cheap striped or patterned cotton cloth, red or blue predominating (see also bethilles)",textile,cotton,varies,colored threads (loom-patterned),stripe; check,plainweave,cheap,I1966: Northwest India,I1966: Guinea (for slave traders),,,,,,,,,textile,,,,
,cambay cloth,,,n,y,"generally, cloth from Cambay, or India (too generic)",textile,,,,,,,India,,,,,,,,,,,,,,
cambolin,camboolees,,"culbuleys, cambolin",y,y,I1966: cloth of mixed silk and wool,textile,cotton/wool,,,,,,I1966: Northwest India: Sind,,,,,,,,,,textile,,,,
,cambric,,"camerick, cambray",n,y,"Fine white linen plain-weave cloth produced in Europe."" (Peck 2013, p. 305)",textile,linen,white,plain (undyed and unbleached?),solid (single color),plainweave,fine,Europe,,,,,,,,,,,,,,
,camcanys,,"caymeconyes, chamchanijs",,y,"I1966: plain muslin, sometimes compared to cassas",textile,cotton,,plain (undyed and unbleached?),solid (single color),plainweave,,"I1966: Northeast India, near Patna","I1966: Persia, also shipped through London to North Africa and Turkey",Bengals,,,Bengal,,,,,textile,,,,
camise,camise,,,y,n,?,textile/unclear,,,,,,,,,blue coast,blue,,coast,,,,,,,,,
camlet,camlet,,"cammelot, camelotten, kamelot, see also polemiten",y,y,"Originally an East Indies fabric; subsequently applied to European substitutes made of various combinations of wool, silk and hair (in the seventeenth century mainly camel hair or angora wool)."" (Jones1995, p. 314)",textile,varies,,,,,,,,,,,,,,,,,,,,
,cangans,,,y,y,not the same as kannekyns - a multicolored cotton shawl (double-check whether I over-cleaned these in the VOC dataset to be cannikens),textile/garment,,multiple,,,,,,,"black, black coast, black Surats",black,,"coast, Surat",,,,,,,,,
kannekyns,cannikens,,"canequims, candequees, cangans (?), canequims, kannekyns, Cannekyns, Kanekyns, Canequin, Kannekiens, Canekins, kannekijns",,y,"Either these are short cotton cloths dyed blue or black; or they are white cloths with red striped borders. see kannekyns I1966: cheap coarse calico, dyed blue or black, material probably same as baftas, mostly before 1650; Alpern: a white cotton cloth with a red stripe at one end; some are dyed blue (MK: in VOC src_00002 - could also include moelisjaar - or else that could go under caatches)",textile,cotton,varies,"colored threads (loom-patterned); piece-dyed (solid, single color)",border; solid (single color),plainweave,varies,"I1966: Northwest India, especially Broach and Navsari",main Asian markets; south-east Africa,"zwart Surats, also sometimes dyed blue, white, black, black surats","blue, white, black",,Surat,,,,,textile,,,,"Vijf adds cost: 6 gulden, sale price: 10 gulden; exchange value of a slave was 6 cannekyns)"
,Cape Verde cloths,,cabo verdse cleeden,n,y,"cottons made in the Cape Verde Islands on the treadle loom in imitation of cottons woven in the upper Guinea Coast hinterland. The most elaborate versions had very complex loom patterning. They were traded widely all along the Guinea Coast in the seventeenth and eighteenth centuries."" (RielloParthasarathi 2009, p. 411) (consistent definition, but not many references)",textile,cotton,varies,colored threads (loom-patterned),,,,Cape Verde,Guinea Coast,,,,,,,,,,,,,
,capperees,,sometimes grouped as guinea cloth; capotins,,y,"Cheap blue and white striped or checked cloths, small size. I1966: cheap blue and white checkered or striped cloth, patterned in the loom; RP: traded in Delgoa Bay",textile,cotton,blue/white,colored threads (loom-patterned),stripe; check,plainweave,cheap,I1966: Northwest India: Gujarat,I1966: Guinea (for slave traders),,,,,,,,,textile,,I1966: 4 yards long,,
,cariscanes,,,n,y,VOC: simple cloths from Gujarat,textile,,,,,,,Gujarat,,,,,,,,,,,,,,
,carolees,,sometimes grouped as guinea cloth,,y,"I1966: similar to capparees, cheap blue and white checkered or striped cloth",textile,cotton,blue/white,colored threads (loom-patterned),stripe; check,plainweave,cheap,I1966: Northwest India: Sind,I1966: Guinea (for slave traders),,,,,,,,,textile,,,,
,carpets,,,,y,"""carpets, Turkey (turcx carpetten) Pile-carpets from Anatolia or Persia, made from calendared mohair. Presumably used as clothing."" (Jones1995, p. 314)",textile/finished,wool (mohair),,,,pile,,Anatolia or Persia,,,,,,,,,,,,,,
,casagy,,,,y,VOC: silk textile,textile,silk,,,,,,,,,,,,,,,,,,,,
catechu,catches,,"cattaketchies, cashees, caatchies, caatjes, caetjes, kaatje, catechu",y,y,"I1966: calico of unknown description, cotton (MK: see moenemolan and perimoenimolen as they may be in same category, possibly also moelisjaar - see SRC_00002)",textile,cotton,,,,plainweave,,I1966: South India/Coromandel Coast: especially Tuticorin,"I1966: Asia, and Europe","assorted, fine/gemeen (bleached/Tuticorins), bleached, Bengals",bleached,,"Tuticorin, Bengal",,"fine, common",,,textile,,,,
,cattawary,,"cattawary, cattawany",,y,VOC: painted striped cotton cloth,textile,cotton,varies,painted,stripe,,,,,,,,,,,,,textile,,,,
,cauwenijs,,,,y,VOC: simple cloth from Coromandel,textile,,,,,,,,,,,,,,,,,,,,,
,chadars,,"chadors, chuddar (don't confuse with chautars)",,y,"I1966: a kind of shawl, could be painted (essentially, a rectangular cloth)",textile/garment,,varies,painted,,,,I1966: Northwest India,I1966: Malay archipelago,,,,,,,,,garment,,,,
,chaliassen,,,,y,VOC: simple cotton cloth from Coromandel,textile,cotton,,,,,,VOC: Coromandel,,,,,,,,,,,,,,
