exchange_nr,source,company,means_of_exchange,ship_captain,orig_date_src,orig_yr,orig_date,orig_exact_date_yn,orig_loc_port_arch,orig_loc_region_arch,orig_loc_port_modern,orig_loc_region_modern,orig_loc_lat,orig_loc_long,dest_date_src,dest_yr,dest_date,dest_exact_date_yn,dest_loc_port_arch,dest_loc_region_arch,dest_loc_port,dest_loc_region,dest_loc_lat,dest_loc_long,textile_quantity,textile_unit,els_per_ps,supplier,textile_category,textile_subcategory,textile_name,textile_modifier_fulltext,textile_color_arch,textile_color_inf,textile_pattern_arch,textile_process_arch,textile_fiber_arch,textile_geography_arch,textile_quality_arch,textile_other_unknown_arch,textile_quality_inferred,ship_doc_total_arch,shipment_total_value,shipment_currency,total_value_guldens,total_value_stuivers,total_value_penningen,total_value_currency,total_value_other,ps_value_gulden,ps_value_stuivers,ps_value_penningen,ps_value_currency,additional_text_from_doc,notes_other,headerexplanations,httpsdocsgooglecomdocumentd1wnak,total_value_dutch_gulders
11220,WIC_1.05.01.02_1302_254-256,WIC,Emmenes,Simonse Valk,hdh,1721,1721-2-19,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1721,1721-5-1,n,Ardra,"NA",Ouidah,Benin,"NA","NA",500.00,el,"NA",M. Hooft,"NA","NA",atlassen,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29539,14,0","78577,4,0",guilders,400,0,0,guilders,"NA",0,16,0,guilders,"NA","NA","NA","NA",400
11188,WIC_1.05.01.02_1302_230-231,WIC,Nieuwe Hartloper,Gerrit Jansz,hdh,1721,1721-2-19,y,"NA","NA",Texel,Netherlands,"NA","NA",est,n/a,"NA",n,Arguin,"NA",Arguin,Mauritania,"NA","NA",144.00,el,"NA",Moses Daniel,"NA","NA",linen,"""Ruw ditto""","NA","NA","NA",raw,"NA","NA","NA","NA","NA","24342,18,0","24342,18,0",guilders,25,4,0,guilders,"NA",0,3.5,0,guilders,"price is per el, not per piece","NA","NA","NA",25.2
11117,WIC_1.05.01.02_1302_218-220,WIC,Stad en Lande,Jan van der Venne,hdh,1720,1720-12-00,n,"NA","NA",Texel,Netherlands,"NA","NA",est,n/a,"NA",n,Guinea,"NA",Elmina,Ghana,"NA","NA",139.50,el,"NA",Isak Buitenwaart,"NA","NA",laken,"""root laken""",red,"NA","NA","NA","NA","NA","NA","NA","NA","14303,11,0","14303,11,0",guilders,556,11,0,guilders,"NA",0,80,0,guilders,"NA","NA","NA","NA",556.55
11045,WIC_1.05.01.02_1303_251-253,WIC,Leusden,Pieter Raas,arch,1721,1721-12-21,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1722,"NA",n,Elmina,"NA",Elmina,Ghana,"NA","NA",240.00,el,"NA",Wilkens,"NA","NA",laken,root laaken,red,"NA","NA","NA","NA","NA","NA","NA","NA","48648,6,0","78510, 15, 0",guilders,925,4,0,guilders,"NA",3.880000114,0,0,guilders,"NA","this is measure per el, not per piece","NA","NA",925.2
11187,WIC_1.05.01.02_1302_230-231,WIC,Nieuwe Hartloper,Gerrit Jansz,hdh,1721,1721-2-19,y,"NA","NA",Texel,Netherlands,"NA","NA",est,n/a,"NA",n,Arguin,"NA",Arguin,Mauritania,"NA","NA",150.00,el,"NA",Moses Daniel,"NA","NA",linen,"""wit linnen""",white,"NA","NA","NA","NA","NA","NA","NA","NA","24342,18,0","24342,18,0",guilders,48,15,0,guilders,"NA",0,6.5,0,guilders,"price is per el, not per piece","NA","NA","NA",48.75
11229,WIC_1.05.01.02_1302_346-347,WIC,Africa,Sipke Brouwer,hdh,1721,1721-6-22,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1721,"NA",n,Elmina in Guinea,"NA",Elmina,Ghana,"NA","NA",150.00,el,"NA",Jacob Benningbroek & Company,"NA","NA",laken,"""root laken""",red,"NA","NA","NA","NA","NA","NA","NA","NA","18920,6,0","18920,6,0",guilders,600,0,0,guilders,"NA",4,0,0,guilders,"NA","NA","NA","NA",600
11119,WIC_1.05.01.02_1302_218-220,WIC,Stad en Lande,Jan van der Venne,hdh,1720,1720-12-00,n,"NA","NA",Texel,Netherlands,"NA","NA",est,n/a,"NA",n,Guinea,"NA",Elmina,Ghana,"NA","NA",10400.00,el,"NA",Gerart Ter Borgh,"NA","NA",perpetuanen,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14303,11,0","14303,11,0",guilders,2730,0,0,guilders,"NA",0,5.25,0,guilders,"NA","NA","NA","NA",2730
11293,WIC_1.05.01.02_1302_422-24,WIC,Vlissingen,Gerrit de Haan,hdh,1721,1721-11-30,y,"NA","NA",Texel,Netherlands,"NA","NA",est,1722,"NA","NA",Guinea,"NA",Elmina,Ghana,"NA","NA",1.00,el,116.5,Lucas Marinus,"NA","NA",laken,"""root laken""",red,"NA","NA","NA","NA","NA","NA","NA","NA","35658,1,0","35658,1,0",guilders,582,10,0,guilders,"NA",5,0,0,guilders,"per el--also, there is no piece number, so I have filled in 1. Perhaps this isn't a good idea. To discuss.","NA","NA","NA",582.5
2001957,bgb_16178,VOC,Ganzenhoef,"NA",das,1721,1721-06-02,y,Hoorn,Dutch Republic,Hoorn,Netherlands,"NA","NA",doc,1722,1722-02-08,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",100x,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA",125439,125439,Indian Guilders,750,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2460.7,"NA","NA",750
2001965,bgb_16181,VOC,Baanman,"NA",das,1721,1721-05-14,y,Enkhuizen,Dutch Republic,Enkhuizen,Netherlands,"NA","NA",doc,1722,1722-01-21,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",x,lb,"NA","NA","NA","NA",kardoesgaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","159624,12,8","159624,12,8",Indian Guilders,30,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2457.1,"NA","NA",30
2001922,bgb_16168,VOC,Barbestein,"NA",das,1721,1721-05-21,y,Delft,Dutch Republic,Delft,Netherlands,"NA","NA",doc,1722,1722-01-24,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",x,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","275196,1,8","275196,1,8",Indian Guilders,502,10,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2459.2,"NA","NA",502.5
2001813,bgb_16122,VOC,Amstelveen,"NA",das,1721,1721-02-19,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1721,1721-09-04,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","372939,8,8","372939,8,8",Indian Guilders,156,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2443.2,"NA","NA",156
2001941,bgb_16173,VOC,Krooswijk,"NA",das,1721,1721-05-06,y,Rotterdam,Dutch Republic,Rotterdam,Netherlands,"NA","NA",doc,1722,1722-02-26,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",25.00,lb,"NA","NA","NA","NA",kardoesgaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","233871,13, 8","233871,13, 8",Indian Guilders,30,10,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2454.1,"NA","NA",30.5
2001805,bgb_16152,VOC,Barneveld,"NA",das,1721,1721-08-12,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-08-12,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",600.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","331243,4,8","331243,4,8",Indian Guilders,0,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2480.7,"NA","NA",0
2001889,bgb_16161,VOC,Raadhuis van Vlissingen,"NA",das,1721,1721-02-15,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1722,1722-03-15,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","163982,12,8","163982,12,8",Indian Guilders,205,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2456.3,"NA","NA",205
2001868,bgb_16146,VOC,Prattenburg,"NA",das,1721,1721-12-21,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-07-23,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",600.00,lb,"NA","NA","NA","NA",yarn,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","341963,9","341963,9",Indian Guilders,186,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2482.3,"NA","NA",186
2001829,bgb_16134,VOC,Hillegonda,"NA",das,1721,1721-06-02,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-01-28,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",4.00,lb,"NA","NA","NA","NA",yarn,wit,white,"NA","NA","NA","NA","NA","NA","NA","NA","91038,4","91038,4",Indian Guilders,10,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2461.1,"NA","NA",10
2001824,bgb_16130,VOC,Amsterdam,"NA",das,1721,1721-02-19,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1721,1721-10-11,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",200.00,lb,"NA","NA","NA","NA",kardoesgaren,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",292016,292016,Indian Guilders,223,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2444.2,"NA","NA",223
2001852,bgb_16138,VOC,Stadwijk,"NA",das,1721,1721-07-15,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-04-15,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",4.00,lb,"NA","NA","NA","NA",yarn,wit,white,"NA","NA","NA","NA","NA","NA","NA","NA","107406,17","107406,17",Indian Guilders,10,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2467.1,"NA","NA",10
2001818,bgb_16127,VOC,Koning Karel de Derde,"NA",das,1721,1721-02-19,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1721,1721-09-10,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",10.00,lb,"NA","NA","NA","NA",boekbindersgaren,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","282419,10","282419,10",Indian Guilders,9,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2446.6,"NA","NA",9
2001881,bgb_16159,VOC,Meijenburg,"NA",das,1721,1721-02-15,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1721,1721-12-13,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",72.00,lb,"NA","NA","NA","NA",naaigaren,gemeen,"NA","NA","NA","NA","NA","NA",ordinary,"NA","NA","324090,12","324090,12",Indian Guilders,72,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2437.4,"NA","NA",72
2001927,bgb_16168,VOC,Barbestein,"NA",das,1721,1721-05-21,y,Delft,Dutch Republic,Delft,Netherlands,"NA","NA",doc,1722,1722-01-24,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",100.00,lb,"NA","NA","NA","NA",naaigaren,gemeen,"NA","NA","NA","NA","NA","NA",ordinary,"NA","NA","275196,1,8","275196,1,8",Indian Guilders,131,8,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2459.2,"NA","NA",131.4
2001836,bgb_16136,VOC,Heesburg,"NA",das,1721,1721-07-09,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-01-30,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","146024,4","146024,4",Indian Guilders,156,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2466.1,"NA","NA",156
2001856,bgb_16140,VOC,Elisabeth,"NA",das,1722,1722-01-13,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-07-11,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","353552,5","353552,5",Indian Guilders,156,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2487.4,"NA","NA",156
2001821,bgb_16128,VOC,Westerdijkshorn,"NA",das,1721,1721-02-19,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1721,1721-10-11,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","360049,11","360049,11",Indian Guilders,156,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2451.4,"NA","NA",156
2001851,bgb_16138,VOC,Stadwijk,"NA",das,1721,1721-07-15,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-04-15,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",10x,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","107406,17","107406,17",Indian Guilders,312,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2467.1,"NA","NA",312
2001882,bgb_16159,VOC,Meijenburg,"NA",das,1721,1721-02-15,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1721,1721-12-13,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",10.00,lb,"NA","NA","NA","NA",zeilgarengaren,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","324090,12","324090,12",Indian Guilders,22,10,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2437.4,"NA","NA",22.5
2001806,bgb_16152,VOC,Barneveld,"NA",das,1721,1721-08-12,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-08-12,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",200.00,lb,"NA","NA","NA","NA",kardoesgaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","331243,4,8","331243,4,8",Indian Guilders,0,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2480.7,"NA","NA",0
2001926,bgb_16168,VOC,Barbestein,"NA",das,1721,1721-05-21,y,Delft,Dutch Republic,Delft,Netherlands,"NA","NA",doc,1722,1722-01-24,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",25.00,lb,"NA","NA","NA","NA",kardoesgaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","275196,1,8","275196,1,8",Indian Guilders,37,10,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2459.2,"NA","NA",37.5
2001874,bgb_16158,VOC,Samson,"NA",das,1721,1721-02-15,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1721,1721-10-14,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",2500.00,lb,"NA","NA","NA","NA",zeilgarengaren,in soort,"NA","NA","NA","NA","NA","NA","NA",assorted,"NA","213548,13","213548,13",Indian Guilders,1025,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2440.5,"NA","NA",1025
2001891,bgb_16161,VOC,Raadhuis van Vlissingen,"NA",das,1721,1721-02-15,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1722,1722-03-15,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",78.00,lb,"NA","NA","NA","NA",naaigaren,gemeen,"NA","NA","NA","NA","NA","NA",ordinary,"NA","NA","163982,12,8","163982,12,8",Indian Guilders,78,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2456.3,"NA","NA",78
2001860,bgb_16141,VOC,Stad Leiden,"NA",das,1722,1722-01-13,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1722,1722-07-11,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","361301,2,8","361301,2,8",Indian Guilders,156,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2488.2,"NA","NA",156
2001960,bgb_16181,VOC,Baanman,"NA",das,1721,1721-05-14,y,Enkhuizen,Dutch Republic,Enkhuizen,Netherlands,"NA","NA",doc,1722,1722-01-21,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",x,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","159624,12,8","159624,12,8",Indian Guilders,604,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2457.1,"NA","NA",604
2001907,bgb_16165,VOC,Valkenisse,"NA",das,1722,1722-01-16,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1722,1722-07-23,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",1200.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","372199,18","372199,18",Indian Guilders,495,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2491.3,"NA","NA",495
2001817,bgb_16127,VOC,Koning Karel de Derde,"NA",das,1721,1721-02-19,y,Amsterdam,Dutch Republic,Amsterdam,Netherlands,"NA","NA",doc,1721,1721-09-10,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",500.00,lb,"NA","NA","NA","NA",zeilgarengaren,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","282419,10","282419,10",Indian Guilders,0,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2446.6,"NA","NA",0
2001892,bgb_16161,VOC,Raadhuis van Vlissingen,"NA",das,1721,1721-02-15,y,Zeeland,Dutch Republic,Middelburg,Netherlands,"NA","NA",doc,1722,1722-03-15,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",10.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","163982,12,8","163982,12,8",Indian Guilders,22,10,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2456.3,"NA","NA",22.5
2001936,bgb_16173,VOC,Krooswijk,"NA",das,1721,1721-05-06,y,Rotterdam,Dutch Republic,Rotterdam,Netherlands,"NA","NA",doc,1722,1722-02-26,y,Batavia,Batavia,Jakarta,"Java, Indonesia","NA","NA",1000.00,lb,"NA","NA","NA","NA",zeilgarengaren,-,"NA","NA","NA","NA","NA","NA","NA","NA","NA","233871,13, 8","233871,13, 8",Indian Guilders,308,0,0,Dutch Guilders,"NA","NA","NA","NA","NA","NA",DAS voyage 2454.1,"NA","NA",308
